,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
24031,25,services,single,high.school,no,yes,no,telephone,oct,thu,301,1,999,0,nonexistent,-0.1,93.798,-40.4,4.921,5195.8,yes
7470,47,blue-collar,married,basic.6y,unknown,yes,no,telephone,may,fri,604,2,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,yes
7095,31,blue-collar,married,basic.9y,no,no,no,telephone,may,thu,535,2,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,yes
24121,34,management,married,university.degree,no,no,no,telephone,nov,fri,179,1,999,0,nonexistent,-0.1,93.2,-42.0,4.223,5195.8,yes
30031,37,services,single,high.school,no,yes,no,cellular,apr,wed,165,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,yes
37407,60,retired,married,university.degree,no,no,no,cellular,aug,wed,576,1,999,0,nonexistent,-2.9,92.201,-31.4,0.879,5076.2,yes
39939,69,retired,divorced,professional.course,no,no,no,cellular,jun,fri,213,6,12,2,failure,-1.7,94.055,-39.8,0.748,4991.6,yes
38376,30,services,single,high.school,no,yes,no,cellular,oct,mon,385,2,999,0,nonexistent,-3.4,92.431,-26.9,0.739,5017.5,yes
16685,27,blue-collar,single,basic.9y,unknown,yes,no,cellular,jul,wed,1309,4,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,yes
7881,39,services,single,high.school,unknown,yes,yes,telephone,jun,mon,563,1,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,yes
30286,46,services,married,high.school,no,yes,yes,cellular,apr,thu,354,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,yes
28467,34,admin.,single,university.degree,no,no,no,cellular,apr,tue,142,1,999,0,nonexistent,-1.8,93.075,-47.1,1.423,5099.1,yes
24057,56,technician,married,high.school,no,no,no,telephone,oct,thu,234,1,999,0,nonexistent,-0.1,93.798,-40.4,4.794,5195.8,yes
39385,49,technician,divorced,professional.course,no,yes,no,cellular,mar,tue,236,4,3,1,success,-1.8,93.369,-34.8,0.635,5008.7,yes
9101,39,services,married,high.school,no,yes,no,telephone,jun,fri,554,1,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,yes
20381,53,entrepreneur,married,basic.9y,unknown,yes,no,cellular,aug,tue,1282,5,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,yes
40295,31,technician,single,university.degree,no,no,no,cellular,jul,thu,200,4,999,1,failure,-1.7,94.215,-40.3,0.899,4991.6,yes
37925,60,retired,married,professional.course,no,yes,no,cellular,sep,thu,365,1,3,1,success,-3.4,92.379,-29.8,0.809,5017.5,yes
38178,75,retired,divorced,basic.4y,unknown,yes,no,cellular,oct,thu,502,1,999,0,nonexistent,-3.4,92.431,-26.9,0.754,5017.5,yes
36116,30,technician,single,professional.course,no,no,no,cellular,may,wed,229,3,999,0,nonexistent,-1.8,92.893,-46.2,1.27,5099.1,yes
31590,30,blue-collar,single,basic.9y,no,yes,no,cellular,may,thu,623,1,10,1,success,-1.8,92.893,-46.2,1.327,5099.1,yes
28482,24,services,single,high.school,no,no,no,cellular,apr,tue,450,1,999,0,nonexistent,-1.8,93.075,-47.1,1.423,5099.1,yes
12767,56,services,married,basic.4y,unknown,no,no,cellular,jul,tue,534,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,yes
40230,40,management,married,university.degree,no,yes,no,cellular,jul,thu,321,4,999,0,nonexistent,-1.7,94.215,-40.3,0.884,4991.6,yes
40929,20,student,single,unknown,no,yes,yes,cellular,oct,tue,187,1,3,4,success,-1.1,94.601,-49.5,0.982,4963.6,yes
28726,36,blue-collar,married,unknown,no,no,no,cellular,apr,thu,1174,1,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,yes
22236,29,admin.,single,high.school,no,yes,no,cellular,aug,thu,788,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,yes
40008,26,admin.,married,high.school,no,no,no,cellular,jun,wed,301,5,999,0,nonexistent,-1.7,94.055,-39.8,0.767,4991.6,yes
40779,38,blue-collar,single,high.school,no,yes,no,cellular,sep,wed,263,1,6,3,success,-1.1,94.199,-37.5,0.879,4963.6,yes
39258,26,student,single,high.school,no,no,no,cellular,mar,fri,215,1,6,3,success,-1.8,93.369,-34.8,0.649,5008.7,yes
40774,31,services,single,high.school,no,yes,no,cellular,sep,fri,336,2,6,1,success,-1.1,94.199,-37.5,0.879,4963.6,yes
29824,31,services,married,basic.9y,no,yes,no,cellular,apr,mon,1030,3,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,yes
40485,27,admin.,married,university.degree,no,no,no,cellular,aug,thu,312,3,6,1,success,-1.7,94.027,-38.3,0.899,4991.6,yes
41078,37,admin.,married,university.degree,no,no,no,cellular,nov,mon,282,2,6,1,success,-1.1,94.767,-50.8,1.05,4963.6,yes
37957,28,student,single,high.school,no,no,no,cellular,sep,fri,555,2,999,0,nonexistent,-3.4,92.379,-29.8,0.803,5017.5,yes
28506,28,blue-collar,single,university.degree,no,no,no,cellular,apr,tue,107,3,999,0,nonexistent,-1.8,93.075,-47.1,1.423,5099.1,yes
20091,44,admin.,married,high.school,no,yes,no,cellular,aug,mon,758,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,yes
39605,52,admin.,married,university.degree,no,yes,yes,cellular,may,thu,250,1,3,5,success,-1.8,93.876,-40.0,0.677,5008.7,yes
33564,33,services,married,high.school,no,yes,no,cellular,may,tue,737,3,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,yes
7445,27,admin.,single,high.school,unknown,no,no,telephone,may,fri,682,1,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,yes
19826,57,technician,married,high.school,unknown,no,no,cellular,aug,fri,784,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,yes
35409,50,admin.,single,high.school,no,no,yes,cellular,may,fri,623,8,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,yes
3574,56,blue-collar,married,basic.4y,unknown,yes,yes,telephone,may,fri,1252,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,yes
3223,45,self-employed,married,basic.6y,unknown,no,no,telephone,may,thu,734,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,yes
28489,26,unemployed,single,university.degree,no,yes,no,cellular,apr,tue,168,1,999,0,nonexistent,-1.8,93.075,-47.1,1.423,5099.1,yes
27937,25,admin.,married,university.degree,no,no,no,cellular,mar,fri,243,3,999,0,nonexistent,-1.8,92.843,-50.0,1.531,5099.1,yes
38154,50,management,married,university.degree,no,yes,no,cellular,oct,thu,305,2,4,1,success,-3.4,92.431,-26.9,0.754,5017.5,yes
39849,21,student,single,high.school,no,yes,no,cellular,jun,mon,270,1,999,0,nonexistent,-1.7,94.055,-39.8,0.72,4991.6,yes
40803,31,technician,married,university.degree,no,no,no,cellular,sep,thu,244,1,3,1,success,-1.1,94.199,-37.5,0.878,4963.6,yes
37522,33,services,married,high.school,no,no,no,cellular,aug,thu,738,1,999,0,nonexistent,-2.9,92.201,-31.4,0.873,5076.2,yes
38211,60,admin.,married,unknown,no,yes,no,cellular,oct,wed,290,1,999,1,failure,-3.4,92.431,-26.9,0.74,5017.5,yes
9914,57,blue-collar,married,unknown,unknown,no,no,telephone,jun,wed,651,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,yes
14553,36,blue-collar,married,basic.4y,unknown,no,no,cellular,jul,tue,1615,3,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,yes
30019,23,admin.,single,university.degree,no,yes,no,cellular,apr,wed,621,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,yes
39716,45,self-employed,married,high.school,no,no,no,cellular,may,fri,374,1,999,1,failure,-1.8,93.876,-40.0,0.695,5008.7,yes
18602,22,unemployed,single,high.school,no,yes,no,cellular,jul,thu,361,3,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,yes
